from_idx,to_idx,from,to,distance,duration,dest_closeTime
2,38,"Wielkopolska 260, 81-531 Gdynia, Poland","trakt świętego Wojciecha 35, 80-376 Gdańsk, Poland",29144.0,1735.0,2021-11-27 16:00:00
2,39,"Wielkopolska 260, 81-531 Gdynia, Poland","Olszyńska 3, 80-734 Gdańsk, Poland",29564.0,1895.0,2021-11-27 16:00:00
2,40,"Wielkopolska 260, 81-531 Gdynia, Poland","Olszyńska 29, 80-734 Gdańsk, Poland",29810.0,1902.0,2021-11-27 16:00:00
2,41,"Wielkopolska 260, 81-531 Gdynia, Poland","Miodowa 32, 80-740 Gdańsk, Poland",31017.0,2093.0,2021-11-27 16:00:00
2,42,"Wielkopolska 260, 81-531 Gdynia, Poland","Zawodzie 35, 80-726 Gdańsk, Poland",32300.0,2096.0,2021-11-27 18:00:00
2,43,"Wielkopolska 260, 81-531 Gdynia, Poland","Wschodnia 43, 80-066 Gdańsk, Poland",34861.0,2047.0,2021-11-27 16:00:00
2,44,"Wielkopolska 260, 81-531 Gdynia, Poland","Strzelców Karpackich 6D, 80-041 Gdańsk, Poland",27585.0,1783.0,2021-11-27 16:00:00
2,46,"Wielkopolska 260, 81-531 Gdynia, Poland","Dywizji Wołyńskiej 18B, 80-180 Gdańsk, Poland",27528.0,1765.0,2021-11-27 16:00:00
2,47,"Wielkopolska 260, 81-531 Gdynia, Poland","Świętokrzyska 60, 80-180 Gdańsk, Poland",26834.0,1653.0,2021-11-27 16:00:00
2,48,"Wielkopolska 260, 81-531 Gdynia, Poland","Świętokrzyska 22, 80-180 Gdańsk, Poland",26341.0,1607.0,2021-11-27 16:00:00
2,49,"Wielkopolska 260, 81-531 Gdynia, Poland","Niepołomicka 32, 80-001 Gdańsk, Poland",27938.0,1829.0,2021-11-27 16:00:00
2,50,"Wielkopolska 260, 81-531 Gdynia, Poland","Władysława IV 24, 81-384 Gdynia, Poland",6737.0,721.0,
3,0,"Korzenna 16a, 81-587 Gdynia, Poland","Witolda 17, 81-532 Gdynia, Poland",2188.0,276.0,2021-11-27 16:00:00
